State_ID,Next_State_ID,Probability,Act_Center,Reward_Center,Cost_Center,State_Center,NextState_Center,Weight,Done
1,1,0.9681500486596479,[-0.31405509392808867],[1.137260209801709],[0.0],"[-0.38236193737743274, -0.0020776715009044044]","[-0.38236193737743274, -0.0020776715009044044]",10943,False
1,3,0.03140759090506945,[-0.6992979674750709],[0.996580988896856],[0.0],"[-0.38236193737743274, -0.0020776715009044044]","[-0.35250583721543, 0.09859864778571789]",355,False
1,0,0.0004423604352826683,[0.2720715975000001],[1.0855011582374572],[0.0],"[-0.38236193737743274, -0.0020776715009044044]","[-0.19927726237144344, 0.03414842634042253]",5,False
3,3,0.8934010152284264,[-0.1804931856919336],[0.9135734563608029],[0.0],"[-0.35250583721543, 0.09859864778571789]","[-0.35250583721543, 0.09859864778571789]",2640,False
3,0,0.0751269035532995,[0.3315248681463897],[0.9277715514072821],[0.0],"[-0.35250583721543, 0.09859864778571789]","[-0.19927726237144344, 0.03414842634042253]",222,False
3,1,0.03147208121827411,[0.3336555961972657],[1.0688769111580523],[0.0],"[-0.35250583721543, 0.09859864778571789]","[-0.38236193737743274, -0.0020776715009044044]",93,False
0,0,0.9819718309859155,[0.2780010782122897],[1.068480723483656],[0.0],"[-0.19927726237144344, 0.03414842634042253]","[-0.19927726237144344, 0.03414842634042253]",5229,False
0,2,0.0013145539906103286,[0.8521551660937501],[0.9258009493350982],[0.0],"[-0.19927726237144344, 0.03414842634042253]","[0.44947875233478485, 0.058699128459432634]",7,False
0,1,0.01671361502347418,[0.49856187997524065],[1.2210323246990464],[0.0],"[-0.19927726237144344, 0.03414842634042253]","[-0.38236193737743274, -0.0020776715009044044]",89,False
2,2,1.0,[0.9522867368987631],[1.0360191453372438],[0.0],"[0.44947875233478485, 0.058699128459432634]","[0.44947875233478485, 0.058699128459432634]",144,False
